Algoritmo,Instancia,Execucao,Tempo_ms
--reduce,dados/grandes/grafo_scc_grande.txt,1,0.622
--reduce,dados/grandes/grafo_scc_grande.txt,2,0.856
--reduce,dados/grandes/grafo_scc_grande.txt,3,0.913
--reduce,dados/grandes/grafo_scc_grande.txt,4,1.129
--reduce,dados/grandes/grafo_scc_grande.txt,5,1.137
--reduce,dados/grandes/grafo_scc_grande.txt,6,1.113
--reduce,dados/grandes/grafo_scc_grande.txt,7,1.076
--reduce,dados/grandes/grafo_scc_grande.txt,8,1.089
--reduce,dados/grandes/grafo_scc_grande.txt,9,1.123
--reduce,dados/grandes/grafo_scc_grande.txt,10,1.034
--reduce-optimized-conservative,dados/grandes/grafo_scc_grande.txt,1,0.116
--reduce-optimized-conservative,dados/grandes/grafo_scc_grande.txt,2,0.102
--reduce-optimized-conservative,dados/grandes/grafo_scc_grande.txt,3,0.084
--reduce-optimized-conservative,dados/grandes/grafo_scc_grande.txt,4,0.093
--reduce-optimized-conservative,dados/grandes/grafo_scc_grande.txt,5,0.088
--reduce-optimized-conservative,dados/grandes/grafo_scc_grande.txt,6,0.145
--reduce-optimized-conservative,dados/grandes/grafo_scc_grande.txt,7,0.102
--reduce-optimized-conservative,dados/grandes/grafo_scc_grande.txt,8,0.09
--reduce-optimized-conservative,dados/grandes/grafo_scc_grande.txt,9,0.117
--reduce-optimized-conservative,dados/grandes/grafo_scc_grande.txt,10,0.091
--reduce-internal-search,dados/grandes/grafo_scc_grande.txt,1,0.404
--reduce-internal-search,dados/grandes/grafo_scc_grande.txt,2,0.519
--reduce-internal-search,dados/grandes/grafo_scc_grande.txt,3,0.4
--reduce-internal-search,dados/grandes/grafo_scc_grande.txt,4,0.398
--reduce-internal-search,dados/grandes/grafo_scc_grande.txt,5,0.372
--reduce-internal-search,dados/grandes/grafo_scc_grande.txt,6,0.377
--reduce-internal-search,dados/grandes/grafo_scc_grande.txt,7,0.345
--reduce-internal-search,dados/grandes/grafo_scc_grande.txt,8,0.341
--reduce-internal-search,dados/grandes/grafo_scc_grande.txt,9,0.35
--reduce-internal-search,dados/grandes/grafo_scc_grande.txt,10,0.43
--reduce-optimized-rings,dados/grandes/grafo_scc_grande.txt,1,0.094
--reduce-optimized-rings,dados/grandes/grafo_scc_grande.txt,2,0.105
--reduce-optimized-rings,dados/grandes/grafo_scc_grande.txt,3,0.088
--reduce-optimized-rings,dados/grandes/grafo_scc_grande.txt,4,0.115
--reduce-optimized-rings,dados/grandes/grafo_scc_grande.txt,5,0.096
--reduce-optimized-rings,dados/grandes/grafo_scc_grande.txt,6,0.102
--reduce-optimized-rings,dados/grandes/grafo_scc_grande.txt,7,0.12
--reduce-optimized-rings,dados/grandes/grafo_scc_grande.txt,8,0.097
--reduce-optimized-rings,dados/grandes/grafo_scc_grande.txt,9,0.103
--reduce-optimized-rings,dados/grandes/grafo_scc_grande.txt,10,0.111
--reduce-dag,dados/grandes/grafo_dag_grande.txt,1,0.785
--reduce-dag,dados/grandes/grafo_dag_grande.txt,2,0.788
--reduce-dag,dados/grandes/grafo_dag_grande.txt,3,0.683
--reduce-dag,dados/grandes/grafo_dag_grande.txt,4,0.713
--reduce-dag,dados/grandes/grafo_dag_grande.txt,5,0.76
--reduce-dag,dados/grandes/grafo_dag_grande.txt,6,0.714
--reduce-dag,dados/grandes/grafo_dag_grande.txt,7,0.74
--reduce-dag,dados/grandes/grafo_dag_grande.txt,8,0.764
--reduce-dag,dados/grandes/grafo_dag_grande.txt,9,0.723
--reduce-dag,dados/grandes/grafo_dag_grande.txt,10,0.715
